tweet,label
nna ike gwuru ooo how are you,2
chineke nna kezi mgbe ole,2
lol isi adirokwanu gi nma,2
haha fulani herdsmen akpa amu gi retweet rie nsi,2
nna ghetto di gi na aru biko,2
ezigbo onye iberibe,2
thief ole barawo onye oshi,2
chukwu nna afam ị gaghị egbu mmadụ na app a,2
or ma agbalie gi elu,2
o dikwa egwu,2
lmao awka na ebi ajo ndu,2
nna ehh ụfọdụ ụmụ nwoke dara iberibe,2
rapụ ndị nzuzu,2
taa nnaa gaa zuru ike,2
nobody ugly oooo obu ego na akpari mmadu,2
rijuo nsi onu dia nkea abuluzia gini alako kwana muna chairmo ooh before kitikpa agbasa gi isi,2
negodu mama mmadu,2
nsogbu dị kwa ife corona na cause,2
zuzuru getaway from here onye nkogheri,2
agwọ sia onye ala ọ gaghị ahapụ ntamu,2
thunder fire onu gi ji ekwu ụdịrị ihe a,2
i di sure na the okiri agbawabero ya isi,2
i bu onye nzuzu,2
o siri nke ozo na beer adiro ya mma na aru,2
ya ehh m nweta gị,2
maka chi na ochichi buhari a ka mmadụ naeje eyi udi akwa ahụ,2
i na atupuru ndi nzuzu onu,2
nzuzu ya di few mush,2
aunty mi e ne we iwe oku oh,2
ị na ańaa ifeanyi ọnụ ọjọọ nti,2
biko dutelu anyi mmadu from mgbago inu,2
haha ele gini nwanyi kedu ubosi e subakwa imo,2
ike guru m o,2
nsogbu digodi next season for arsenal,2
guy idikwanu ajoo wicked afa ehhhhh egwu dikwa,2
ọ bụghị asị mana ole nime ha ka isi dị mma,2
ezigbo nonsense lmao,2
mechie onu osiso iti boli bor,2
kilikpa lacha gi anya ebeahu idiot,2
oge ahu gbuo gi dia esi beegi eje bee onye kwanu,2
chineke nna ekwekwala ihe ọjọọ,2
as in ehn ndi mmadu enwero zi obi ebele,2
luiz efulefu mmadu,2
ndị ala ndi ala lele lekwa ha,2
o di na iwu mana aga azota ana wee zoba ute onowu kee mgbe ana akpo anyi oku,2
dont oo maka ndu gi,2
ndi mbaise na enyekari nsogbu,2
osi no privacy this my awkaetiti sister ina enye nsogbu ooo,2
e be mbaise road di otuh kedu ka umuahia ga di,2
ibu ezigbo okpo 3buka,2
ibu onye ara anuofia allika nkiita ara eezi aakuodu,2
ike gwuru ndi ochichi anyi,2
thunder nke sị na abaa okwia,2
ezigbo prof ndi ala lol ik,2
chucks de chef afọ asakwana nwoke mmadu,2
you see umuada ndi a bu ndi akpo oh,2
akuko aburo obele ya,2
a gwasịa m gị,2
isim hudo ya ama kwa nna eeh once mmili malu kpam na ala uzo etiwa abuo maka chii haa jidelu uzo dibu obelle nma kpuchasia unto say faa ga etelu anyi ya since 2018 ooh erosion welu nwayo na acho ka ojide uzo mebisia,2
nne jide nke i ji ifunanya mu nwere nebe i no naafu afu ka gari oñuru,2
bitch emetụla ego m aka achọghị m nsogbu,2
mechie onu biko,2
nsogbu di kwa,2
men na ewe iwe okwu,2
aso mmiri ebe nile hian,2
onye ofe mmanu,2
ina atupuru onye ahu onu,2
odika ezigbo ala ji onye nzuzuaa aka mtche,2
obi mmadụ ga justu gbáwá,2
aka akpaghi ha noge a otu ụbọchị aka ekwensu akpara ha notu notu,2
are you still in that spirit kwuo ezi okwu ka ihere mee ekwensu,2
anuofia thunder gbagbuo gi ebe ahu ino you demon,2
aunty oby egbue mmadu,2
okwa ehh ya bụ mmili ga agba gbukwa gị one day,2
o d egwu  o t sumi,2
ala pa ala apa onye para ala ala apagbuo ya,2
he will argue that he has changed but anya anya ka mu naelezi uwa na ndi bi ya nime,2
and  ndị asịrị gbakaa ute,2
lolz wetue mmuo gi nna ya bu ihe gwuru ike mana aga eme kwanu gini,2
nengi onye mgbu,2
o na ewute m ha me chakwa tuoro buhari owu kwa ndi no nulo ga kpo ndi na ru oru beke ka ha nyere ha aka ka mgbe buhari batara na ochiochi obodo a gwa m ofu mkpuru ihe o mere nala igbo ihe o ma wu i buru ndi na gba mgbo ka ha bia gbara anyi egwu eke,2
gbagbue gii semi umu ikporo ogbe,2
afurum gi na isi,2
nna obodo bu igwe,2
lol onye zuzu numba wan thank you,2
akuko gi adiro nma,2
nne isi adirokwa gi mma o,2
chai ina acho onye i ga araputa,2
oji afufu eme orji 1 of igbo land,2
enyi a gtfo onye amụma ugha,2
mechie önu gi biko,2
archbishop afọ nsị,2
ike gwuru ada igbono mind my tweet on post oo biko,2
ndị ajọ obi,2
odumeje ga egbu mmadu the sucrutum,2
miracle onye uwa oma,2
chineke napu ekwensu ike  damn,2
ndi ogbu ara obara coven agaghi afu this one,2
i swear e ka mụ ihe àmà ịga áká mụ adị iberibe,2
ndi iwe newe nya biko wegbuo ha osuko osuko nya biko sugbuo ha iwe wegbukwa unu na anyi na su igbo,2
ka m naagwakwa gi oo,2
oga speak english isi ana emebi gi,2
mmadu nkea ike gwuru,2
chukwu biko napu ekwensu ike,2
o dikwa egwu o,2
gas gbakwa gi oku,2
lmao whos your baby isi adikwa gi mma,2
lord lugard and ndaa flora chukwu kpọọ unu ọkụ ooooo,2
ndi arondizuogu enyego ya o lie makana pericoma naanyi ajo alo,2
chisom ịsị adịghị gị mma,2
ọ salu go ọkụ nne,2
ndi ala fa enwero problem,2
nwanne nsogbu dị o,2
chuwa gi onu dia,2
ndị a bu ndi ọjọọ,2
must be nize ndi ara,2
ikechukwu onye ala,2
ike akụkọ adirom the ultimate line tupu amu alaputa nwoke mmadụ,2
the run i ran today eh chineke ekwekwala ihe ọjọọ,2
ndị asili gbakwa ute,2
nna ike dikwa,2
o di egwu anam enyo gi enyo,2
onye ara aturu,2
kelechi just negodu njo ahia e kuru m boy ihe nke a odinma baba i no fit whine you,2
ndi igbo is na ara di na udi,2
taaaaaa mechie onu,2
chai ihe nnwute,2
na afo ka nya bụ nwa nọ wa mebisia,2
nhia bukwa mpa mmadu,2
ike agwu m te,2
ọ dịkwa egwu dị anyị,2
ike gwụrụ eziokwu m,2
nsogbu e nwego problem,2
savage ndi akpo,2
kingsley im on the floor  onye ala nkwo akpu,2
correct babegwa han ndi ara,2
i swear odi ezi egwu,2
ezigbo nsogbu di,2
ndi obi akpo,2
nsogbu shift lemme see road jor,2
anwuola m ebe a,2
guys nsogbu dikwa,2
lol this team ndi mgbu,2
nwanne ara di ebe a o,2
pink is a female colour gbuo ghi dia onye apari,2
ememe a nụlọ ofufe nnọọ pathetic mmụọ ọjọọ akwadokwa ọchịchị na igbo ala,2
ike gwuru final,2
nna ike gwulu,2
iberibe odi ụzọ ole ụmụnne m,2
ihere o na eme onye ara,2
owu ya lee gi lekwa relegation,2
vuru ụwa gị gawa this morning o,2
loll onye obi akpo,2
nna ndi a choro i nye mmadu high bp biko ahhh,2
bia nwanyi ichoro igbu mmadu,2
ike gi agwula m hoha,2
ara gbachikwa gị ntị there,2
ha ga ejizi otele gi gbape borehole di omimi nwanna 10 years borehole,2
onye oshi o,2
ina enye ya onu ewu gambia,2
ewo iji ya isi gi kajad,2
apama wu nnor onye apari,2
lmao n ga tuba gi ime ofu ubosi,2
loòool onye ara ibe m,2
bia nwanyi aaiga egbu mmadu ooouchenna ose na adi na pepper soup ooooya tugharia pepper soup na asusu igbo,2
nawa oh we should now fear police more than robbers chukwu napukwa ekwensu ike,2
imitation prophet abiakwa ozo,2
nwa ibiakwa nke ne ese okwu,2
ina acho okwu,2
nsogbu dikwa oh,2
